Iteration: 1
Team ,Score ,Strategy
8,-280,[11 9 1 12 5 10 4 2 8 3 13 7 6]
9,-229,[11 8 3 4 9 2 12 13 10 7 1 6 5]
10,86,[5 4 2 9 8 3 13 11 12 1 10 6 7]
11,241,[6 1 3 7 13 2 4 12 8 10 5 11 9]
12,-123,[13 9 5 1 3 10 7 8 11 6 2 4 12]
13,86,[5 6 13 9 2 7 8 1 4 11 3 12 10]
14,-284,[12 6 4 1 8 13 11 9 5 10 2 3 7]
15,-120,[9 12 3 11 1 2 4 7 13 6 5 10 8]
16,-4,[13 6 1 8 2 11 5 3 12 7 4 9 10]
17,123,[11 1 2 6 3 8 5 12 9 13 7 10 4]
18,-181,[5 8 13 3 7 12 9 6 10 2 4 1 11]
19,-63,[12 2 9 8 4 1 3 6 7 10 13 11 5]
20,215,[1 8 13 2 5 3 10 12 9 6 7 4 11]
21,122,[11 1 8 2 10 4 5 9 3 12 6 7 13]
22,-149,[6 2 13 11 9 5 10 4 8 1 7 12 3]
23,-222,[12 3 10 2 7 1 11 5 9 6 13 8 4]
24,223,[8 13 1 3 2 5 12 10 6 4 7 11 9]
25,-126,[2 12 13 10 1 3 5 9 4 7 11 6 8]
Iteration: 50
Team ,Score ,Strategy
1,71,[1 3 6 12 2 8 9 11 13 4 7 10 5]
2,4,[8 13 1 2 3 5 12 10 9 6 7 4 11]
3,175,[1 3 6 10 2 5 12 11 13 4 7 9 8]
4,-215,[6 8 13 7 5 3 10 12 9 2 1 4 11]
5,26,[1 8 13 2 5 6 10 12 9 4 7 11 3]
6,41,[1 8 6 2 11 3 10 12 13 4 7 9 5]
7,343,[3 8 11 4 5 6 1 2 12 10 7 9 13]
8,-311,[13 2 9 12 1 5 7 11 3 8 6 4 10]
9,-56,[5 6 13 11 4 2 7 8 1 9 3 12 10]
10,-392,[11 6 8 10 13 4 3 12 2 1 5 9 7]
11,532,[3 4 1 2 6 9 5 12 7 11 10 8 13]
12,107,[2 1 8 9 12 6 7 10 4 5 13 11 3]
13,-194,[2 10 13 7 11 8 1 3 6 5 12 4 9]
14,-83,[10 13 8 1 2 4 3 12 9 5 7 6 11]
15,146,[10 6 8 4 1 2 9 3 5 11 12 13 7]
16,-106,[7 11 6 3 2 10 13 1 8 5 12 4 9]
17,-130,[10 6 7 5 3 13 1 12 9 2 4 8 11]
18,324,[3 1 4 2 7 8 11 10 13 9 5 12 6]
19,-128,[8 1 9 7 10 13 4 5 3 11 12 6 2]
20,-163,[12 7 8 4 2 11 9 3 10 1 13 5 6]
21,8,[10 5 3 12 2 1 9 6 7 13 8 4 11]
22,57,[9 7 2 5 12 3 6 13 4 10 8 11 1]
23,125,[10 7 3 8 5 1 4 13 9 6 11 2 12]
24,225,[4 12 5 9 3 1 2 6 10 7 13 8 11]
25,-406,[13 3 10 9 8 4 11 7 12 6 2 1 5]
Iteration: 51
Team ,Score ,Strategy
1,143,[10 6 8 4 1 2 9 3 5 11 12 13 7]
2,454,[3 1 4 2 6 9 5 10 13 11 12 8 7]
3,469,[1 3 5 9 4 8 2 6 13 7 10 12 11]
4,599,[3 4 1 2 6 12 5 11 7 10 8 9 13]
5,-54,[10 12 5 4 1 2 9 6 7 11 13 8 3]
6,197,[3 8 6 10 2 5 1 12 13 11 7 9 4]
7,-213,[4 12 10 13 1 6 5 2 11 9 8 3 7]
8,173,[7 5 8 3 2 13 10 1 4 9 6 12 11]
9,-341,[12 8 2 9 10 7 4 11 13 6 3 1 5]
10,-129,[13 1 8 10 7 11 9 4 2 3 6 5 12]
11,-8,[1 9 2 5 13 12 4 10 11 3 7 8 6]
12,18,[12 4 7 8 6 3 5 1 10 13 2 9 11]
13,-61,[4 8 5 9 3 11 6 10 12 7 13 2 1]
14,-155,[12 4 1 13 3 9 11 5 6 10 8 7 2]
15,-58,[7 8 2 13 5 9 3 11 12 1 6 10 4]
16,296,[3 4 1 9 6 5 10 7 12 13 11 2 8]
17,-108,[10 7 9 1 11 12 8 4 2 6 3 5 13]
18,-171,[3 11 12 10 6 8 2 9 1 4 5 7 13]
19,-91,[12 4 3 13 7 5 11 10 1 6 2 8 9]
20,-89,[11 12 1 3 4 13 10 6 7 5 9 2 8]
21,-266,[1 11 13 6 12 5 10 4 9 2 7 8 3]
22,-329,[6 12 13 4 8 7 9 3 10 1 2 5 11]
23,-68,[9 6 11 3 4 8 7 10 2 13 5 1 12]
24,-49,[10 12 1 3 9 6 5 11 13 4 7 2 8]
25,-159,[3 11 6 12 5 2 4 9 10 13 1 8 7]
Iteration: 52
Team ,Score ,Strategy
1,194,[7 5 8 3 2 13 10 1 4 9 6 12 11]
2,66,[3 10 4 9 6 7 5 2 13 11 12 8 1]
3,66,[3 10 4 9 6 7 5 2 13 11 12 8 1]
4,-2,[7 5 13 9 2 8 10 1 4 6 3 12 11]
5,362,[3 1 4 10 6 9 5 2 13 11 12 8 7]
6,163,[3 4 1 9 6 11 5 10 12 13 2 8 7]
7,189,[1 5 8 2 11 13 4 3 9 6 10 7 12]
8,-177,[10 4 11 1 5 13 8 9 3 12 7 6 2]
9,-19,[4 10 5 6 12 1 11 13 8 2 3 9 7]
10,-17,[2 6 9 7 13 3 8 10 11 1 4 12 5]
11,-1,[7 2 11 5 12 3 10 6 4 8 13 9 1]
12,153,[8 5 2 6 1 9 7 10 12 3 11 4 13]
13,-86,[5 8 12 3 7 4 11 13 2 9 6 10 1]
14,20,[4 3 1 13 10 12 5 2 8 11 9 6 7]
15,-254,[13 11 1 6 5 12 2 10 7 4 9 3 8]
16,-214,[9 3 10 4 12 13 8 6 5 11 2 1 7]
17,-429,[13 12 9 2 6 10 3 1 11 5 8 4 7]
18,38,[1 6 10 13 4 5 2 7 11 8 9 12 3]
19,-40,[1 11 3 13 7 9 8 12 2 6 4 10 5]
20,-111,[6 5 8 11 3 13 7 10 2 4 9 12 1]
21,-65,[7 8 3 5 1 13 12 9 10 6 2 4 11]
22,-211,[7 6 12 1 13 9 10 11 4 3 2 5 8]
23,262,[8 6 3 1 2 7 11 10 9 12 4 13 5]
24,120,[2 9 4 3 11 7 6 5 12 10 8 13 1]
25,-7,[6 13 3 4 9 7 1 5 12 2 11 8 10]
Iteration: 53
Team ,Score ,Strategy
1,324,[8 5 2 6 1 9 7 10 12 3 11 4 13]
2,339,[3 4 1 9 6 11 5 10 13 2 12 8 7]
3,532,[3 6 4 1 2 7 5 10 9 12 11 13 8]
4,352,[3 5 8 2 6 9 4 1 11 12 10 13 7]
5,149,[8 5 2 6 12 13 10 7 4 3 11 1 9]
6,235,[3 5 8 10 2 13 9 1 12 4 6 11 7]
7,-438,[6 5 12 13 10 11 7 9 3 4 2 8 1]
8,-203,[8 10 5 13 11 1 12 4 3 2 7 6 9]
9,21,[4 1 12 5 11 7 9 2 13 10 3 8 6]
10,-113,[12 3 9 7 2 10 8 11 4 13 5 1 6]
11,-96,[1 9 13 11 2 8 3 5 12 10 4 6 7]
12,22,[2 9 11 5 4 10 8 6 7 1 3 12 13]
13,-164,[13 8 9 2 6 7 4 5 11 3 12 10 1]
14,-134,[6 13 12 10 1 2 3 11 5 8 7 9 4]
15,-102,[8 12 4 3 5 6 9 10 11 2 7 13 1]
16,151,[5 1 7 12 13 3 4 8 6 11 10 2 9]
17,-222,[9 7 12 6 11 8 2 13 5 1 4 3 10]
18,-128,[6 9 3 11 2 12 13 10 7 8 5 1 4]
19,61,[7 9 6 5 8 2 12 10 13 3 4 1 11]
20,141,[5 4 11 2 8 12 1 10 13 3 6 9 7]
21,-334,[13 6 9 8 5 11 7 12 4 2 10 3 1]
22,-130,[11 9 6 5 4 2 8 7 10 12 1 13 3]
23,-384,[11 12 13 3 10 7 2 5 1 6 9 8 4]
24,60,[5 13 2 1 11 9 6 3 8 7 10 12 4]
25,61,[11 6 9 1 5 2 7 13 12 4 8 10 3]
Iteration: 54
Team ,Score ,Strategy
1,-3,[5 1 7 12 13 3 4 8 6 11 10 2 9]
2,72,[3 5 8 10 1 13 9 2 12 11 6 4 7]
3,393,[3 1 8 2 6 9 4 12 11 5 10 13 7]
4,266,[3 5 8 2 6 13 4 1 11 12 10 9 7]
5,393,[3 1 8 2 6 9 4 12 11 5 10 13 7]
6,238,[3 4 1 12 6 9 5 8 10 11 13 2 7]
7,157,[10 5 4 3 7 8 1 2 13 12 11 9 6]
8,-212,[6 13 10 7 2 1 12 9 5 4 11 8 3]
9,268,[5 8 10 7 3 13 2 4 1 6 12 9 11]
10,30,[4 1 6 9 5 10 12 7 8 3 11 13 2]
11,-131,[8 12 10 7 2 4 5 11 13 1 6 9 3]
12,67,[11 9 10 3 2 7 5 6 4 12 1 13 8]
13,161,[7 6 9 13 3 2 4 11 1 5 12 8 10]
14,-251,[5 7 13 2 12 9 8 1 10 4 11 6 3]
15,-281,[8 9 13 5 12 4 10 3 7 6 1 11 2]
16,-489,[7 10 11 6 12 13 5 1 8 9 4 2 3]
17,-128,[7 12 13 2 8 1 10 9 3 4 5 6 11]
18,-164,[9 12 6 8 1 11 5 2 13 10 4 3 7]
19,-17,[5 6 11 7 9 2 10 4 3 13 12 8 1]
20,-293,[13 1 9 11 5 4 3 10 6 12 8 7 2]
21,-126,[11 9 6 7 12 10 2 5 1 3 13 4 8]
22,1,[1 5 6 10 11 8 2 12 9 4 3 7 13]
23,296,[1 4 2 7 3 11 13 8 10 12 6 9 5]
24,-300,[5 8 13 6 11 9 1 7 10 2 12 3 4]
25,53,[8 11 2 3 5 12 7 1 10 13 4 9 6]
Iteration: 55
Team ,Score ,Strategy
1,303,[3 4 1 12 6 9 5 8 10 11 13 2 7]
2,386,[3 1 8 2 6 9 4 12 11 5 10 13 7]
3,230,[3 4 8 12 6 9 5 1 11 10 13 2 7]
4,34,[5 8 1 7 3 13 2 12 11 6 10 9 4]
5,35,[1 13 8 2 3 11 4 12 5 10 6 9 7]
6,386,[3 1 8 2 6 9 4 12 11 5 10 13 7]
7,65,[7 13 9 2 5 8 6 4 3 12 1 11 10]
8,-169,[8 10 7 3 2 11 13 1 12 4 6 9 5]
9,-567,[13 12 9 10 2 11 3 5 4 6 7 8 1]
10,-92,[8 4 2 13 9 6 7 12 11 10 3 1 5]
11,-4,[8 5 11 2 6 3 9 10 4 7 12 13 1]
12,111,[10 1 3 4 6 5 13 8 9 2 11 12 7]
13,95,[9 7 10 3 6 4 1 2 11 12 8 5 13]
14,-183,[13 8 9 2 11 3 6 1 7 4 12 10 5]
15,-28,[3 6 4 12 5 7 10 9 8 1 11 13 2]
16,308,[3 5 7 2 10 11 1 8 6 4 12 13 9]
17,-241,[10 9 8 5 7 12 6 11 2 3 13 1 4]
18,-216,[2 13 10 7 9 4 5 12 1 8 6 11 3]
19,220,[7 2 10 8 4 5 1 3 11 9 13 6 12]
20,-206,[6 11 13 4 12 8 9 1 5 3 7 2 10]
21,-404,[13 11 3 7 6 10 4 12 1 5 9 8 2]
22,-160,[8 12 5 11 1 9 4 3 6 10 13 7 2]
23,-42,[5 10 9 2 4 7 8 11 3 1 6 12 13]
24,41,[7 10 3 2 11 6 13 5 12 8 1 4 9]
25,98,[5 6 4 12 1 8 2 13 3 10 9 11 7]
Iteration: 56
Team ,Score ,Strategy
1,179,[7 2 10 8 4 5 1 3 11 9 13 6 12]
2,85,[3 4 8 12 6 9 5 10 11 1 13 2 7]
3,243,[3 4 7 2 10 11 5 8 12 1 13 6 9]
4,301,[3 1 10 2 4 5 12 6 11 9 13 8 7]
5,301,[3 1 10 2 4 5 12 6 11 9 13 8 7]
6,459,[3 5 7 2 4 11 1 8 6 9 12 13 10]
7,43,[6 4 1 7 12 11 13 9 3 10 5 2 8]
8,-147,[13 7 6 12 3 5 2 1 8 10 9 11 4]
9,-376,[13 12 5 4 11 6 1 10 2 8 7 9 3]
10,-448,[9 11 10 13 3 1 12 8 2 6 5 4 7]
11,134,[7 2 10 5 4 12 1 11 6 9 8 13 3]
12,-137,[3 8 13 9 11 2 6 10 4 1 12 7 5]
13,63,[2 5 8 3 12 11 9 4 6 10 7 13 1]
14,324,[1 2 3 8 12 5 7 10 4 13 11 6 9]
15,-198,[2 13 8 3 12 5 10 7 4 6 11 9 1]
16,135,[12 7 6 5 4 10 1 3 8 2 13 11 9]
17,71,[7 2 3 12 6 4 13 8 1 10 9 11 5]
18,-86,[8 2 12 10 3 11 4 6 13 1 5 7 9]
19,-54,[2 8 5 9 13 10 7 6 3 11 4 1 12]
20,-360,[11 8 6 7 9 12 13 3 4 2 5 10 1]
21,-301,[4 13 12 6 7 9 2 11 8 1 10 5 3]
22,-283,[13 10 3 7 1 8 9 4 11 5 12 2 6]
23,129,[4 2 12 8 6 7 10 5 1 3 11 9 13]
24,-187,[13 2 9 10 11 1 6 8 4 3 12 7 5]
25,110,[4 7 8 3 6 5 11 10 12 9 2 1 13]
Iteration: 57
Team ,Score ,Strategy
1,193,[7 2 10 8 4 5 1 3 11 9 13 6 12]
2,175,[3 1 10 8 4 5 2 6 11 9 13 12 7]
3,303,[3 1 7 2 4 5 12 6 11 9 13 10 8]
4,402,[3 1 7 2 4 11 5 6 12 10 13 8 9]
5,402,[3 1 7 2 4 11 5 6 12 10 13 8 9]
6,303,[3 1 7 2 4 5 12 6 11 9 13 10 8]
7,301,[4 11 2 6 9 1 3 8 13 10 7 5 12]
8,-214,[5 9 12 7 10 3 6 2 8 13 11 1 4]
9,-365,[4 12 5 3 9 13 7 10 11 6 1 2 8]
10,-148,[13 3 2 9 10 6 5 11 8 7 4 1 12]
11,-96,[1 10 9 2 6 13 3 5 12 7 11 8 4]
12,-339,[12 7 13 5 11 2 4 3 8 10 6 1 9]
13,-112,[9 5 4 13 1 12 3 10 6 11 7 8 2]
14,55,[7 8 1 6 11 10 2 3 12 9 5 4 13]
15,47,[4 7 6 3 9 2 11 12 8 13 5 1 10]
16,-349,[13 6 12 7 4 5 10 8 2 11 3 1 9]
17,-121,[4 5 9 3 10 7 12 13 2 6 11 8 1]
18,42,[5 8 3 2 6 13 1 12 4 9 11 7 10]
19,-338,[12 4 13 6 8 11 3 1 7 9 2 5 10]
20,82,[4 6 12 2 7 1 10 13 5 3 9 8 11]
21,-277,[8 13 4 11 3 7 9 1 12 5 6 10 2]
22,-136,[12 2 6 3 10 13 9 1 5 8 7 4 11]
23,197,[5 1 11 7 13 3 2 8 4 12 6 9 10]
24,167,[3 4 1 2 6 5 13 10 11 8 12 9 7]
25,-174,[7 3 6 10 11 12 5 13 1 2 8 4 9]
Iteration: 58
Team ,Score ,Strategy
1,157,[5 1 11 7 13 3 2 8 4 12 6 9 10]
2,324,[3 11 2 1 9 4 5 6 13 10 7 8 12]
3,19,[3 1 11 7 13 5 12 6 10 4 2 9 8]
4,306,[3 1 7 6 4 11 5 8 12 2 13 9 10]
5,19,[3 1 11 7 13 5 12 6 10 4 2 9 8]
6,452,[3 1 7 2 4 6 11 8 5 10 13 9 12]
7,96,[3 6 5 13 9 8 12 4 2 1 7 10 11]
8,-480,[6 12 13 3 7 11 9 4 8 10 1 2 5]
9,-239,[2 4 12 13 10 7 8 11 3 1 9 6 5]
10,326,[8 3 1 2 5 11 13 7 9 12 4 10 6]
11,71,[7 10 6 13 2 3 4 9 12 1 5 11 8]
12,70,[6 3 13 9 4 12 7 1 8 2 5 10 11]
13,-173,[12 8 1 11 7 9 10 5 6 2 3 13 4]
14,48,[7 5 3 4 9 11 12 1 10 8 2 6 13]
15,10,[9 4 8 10 7 2 1 5 6 12 13 3 11]
16,-307,[5 12 6 9 7 11 4 2 3 13 1 8 10]
17,-311,[1 11 13 12 10 2 9 4 6 3 8 5 7]
18,212,[1 4 3 7 13 10 9 5 8 6 12 11 2]
19,-74,[6 7 12 10 5 2 8 4 1 13 3 9 11]
20,73,[1 8 6 11 3 7 12 13 9 5 4 10 2]
21,-10,[4 2 13 3 6 9 5 12 1 10 11 7 8]
22,67,[6 4 10 2 9 13 8 7 11 5 3 12 1]
23,-168,[6 1 12 5 10 11 9 3 13 7 4 8 2]
24,-220,[2 10 11 8 6 12 4 3 7 9 1 5 13]
25,-268,[8 3 13 7 12 11 1 6 5 10 9 2 4]
Iteration: 59
Team ,Score ,Strategy
1,119,[5 1 11 7 13 3 2 8 4 12 6 9 10]
2,-36,[8 1 11 7 13 9 3 5 4 12 6 10 2]
3,-101,[5 4 11 7 13 3 9 8 1 6 12 2 10]
4,426,[3 1 7 2 5 11 4 8 12 6 13 9 10]
5,426,[3 1 7 2 5 11 4 8 12 6 13 9 10]
6,406,[3 1 7 6 9 4 5 8 12 2 13 10 11]
7,-247,[2 11 13 8 9 10 3 4 7 5 1 12 6]
8,-243,[10 12 7 13 1 9 5 3 4 6 8 11 2]
9,-161,[2 9 13 12 5 1 10 7 8 6 3 4 11]
10,135,[2 4 5 12 11 6 10 8 7 9 1 13 3]
11,89,[1 7 2 10 13 6 3 11 12 4 5 9 8]
12,222,[2 5 1 6 13 4 10 12 11 7 3 9 8]
13,157,[10 1 9 12 2 4 6 3 5 8 11 7 13]
14,271,[1 6 13 9 5 7 8 3 2 10 4 11 12]
15,179,[6 2 5 3 7 13 12 8 9 4 1 10 11]
16,-426,[12 13 8 7 2 5 11 1 9 6 10 4 3]
17,80,[4 1 7 3 12 9 13 2 5 10 11 6 8]
18,-422,[10 11 13 9 2 3 7 5 1 4 12 6 8]
19,-354,[10 5 9 6 13 12 3 2 11 7 8 4 1]
20,100,[10 2 1 3 8 13 9 5 11 4 7 6 12]
21,-321,[10 12 1 13 8 4 7 9 5 11 2 3 6]
22,191,[4 5 9 2 6 11 7 3 12 1 10 8 13]
23,-14,[3 4 13 2 11 8 12 10 5 9 6 7 1]
24,46,[1 2 10 11 9 5 12 3 13 6 4 7 8]
25,-522,[12 9 6 11 3 13 1 8 10 4 5 2 7]
Iteration: 60
Team ,Score ,Strategy
1,119,[4 5 9 2 6 11 7 3 12 1 10 8 13]
2,269,[3 6 7 2 5 1 8 11 12 13 4 9 10]
3,101,[2 1 10 6 13 4 5 12 7 11 3 9 8]
4,312,[3 5 1 6 4 11 10 12 7 2 13 9 8]
5,401,[3 1 7 2 5 4 10 8 12 6 13 9 11]
6,94,[4 5 9 2 6 11 8 3 12 1 10 7 13]
7,-91,[10 11 4 7 5 3 6 9 8 2 13 12 1]
8,147,[3 6 10 4 1 2 12 9 7 13 11 8 5]
9,-95,[2 10 11 7 1 8 5 3 4 12 9 6 13]
10,-266,[8 2 12 13 1 11 10 3 9 6 4 7 5]
11,-390,[12 9 4 7 10 3 13 11 6 5 1 2 8]
12,-382,[9 12 5 3 7 13 11 10 8 4 2 6 1]
13,161,[4 5 2 7 8 11 1 12 6 9 10 13 3]
14,-248,[9 11 6 7 3 5 10 12 8 13 4 1 2]
15,6,[7 9 4 8 2 5 10 1 11 13 12 3 6]
16,141,[5 4 10 8 12 7 1 3 6 2 13 11 9]
17,-234,[6 10 2 1 9 13 12 3 4 11 7 5 8]
18,245,[2 5 1 8 12 4 7 10 6 3 9 11 13]
19,64,[6 4 8 5 11 2 10 12 1 3 7 9 13]
20,-225,[3 7 8 4 13 6 11 1 12 10 9 5 2]
21,-102,[8 3 9 12 1 4 2 7 13 11 10 6 5]
22,140,[6 4 7 2 10 3 1 9 12 11 5 8 13]
23,-412,[6 12 13 7 1 10 3 9 5 8 11 2 4]
24,264,[3 1 6 9 2 11 8 5 4 7 10 13 12]
25,-19,[4 10 6 3 2 9 13 8 5 12 1 11 7]
Iteration: 61
Team ,Score ,Strategy
1,320,[4 5 2 7 8 11 1 12 6 9 10 13 3]
2,371,[4 1 2 9 6 11 5 12 8 7 10 13 3]
3,264,[3 1 6 9 4 11 10 12 7 2 13 5 8]
4,-33,[4 5 7 13 8 11 1 12 6 9 10 2 3]
5,151,[3 5 2 6 8 11 10 12 13 4 1 9 7]
6,376,[3 5 7 2 6 1 8 12 13 11 4 9 10]
7,36,[3 6 13 11 1 9 8 4 12 2 5 10 7]
8,-92,[4 11 5 2 13 12 3 8 7 6 9 10 1]
9,-324,[6 10 4 11 12 9 3 8 5 1 13 7 2]
10,-59,[5 9 12 10 7 6 3 1 4 13 11 2 8]
11,-34,[3 4 6 7 10 12 5 13 11 8 9 2 1]
12,-260,[13 12 2 8 1 7 10 9 3 11 4 5 6]
13,-309,[13 9 11 12 3 8 4 1 2 5 6 10 7]
14,-171,[13 6 9 8 4 3 11 12 1 7 2 10 5]
15,-12,[3 11 13 2 4 10 7 6 8 5 1 9 12]
16,100,[5 10 12 3 6 8 7 1 4 2 9 13 11]
17,-177,[12 8 2 13 1 3 6 10 11 5 9 7 4]
18,177,[9 3 5 1 11 10 6 4 2 8 13 7 12]
19,91,[6 8 2 1 13 11 7 10 5 4 9 3 12]
20,-70,[10 4 7 11 8 3 6 5 1 13 9 12 2]
21,-44,[3 13 7 2 11 6 9 5 8 12 4 10 1]
22,-202,[12 13 4 2 5 11 7 8 9 6 1 10 3]
23,31,[8 5 10 1 11 7 6 13 4 3 2 12 9]
24,-243,[11 7 13 8 3 4 1 9 10 12 5 2 6]
25,113,[2 13 6 4 7 8 9 1 12 11 3 5 10]
Iteration: 62
Team ,Score ,Strategy
1,253,[3 5 2 6 8 11 10 12 13 4 1 9 7]
2,50,[3 1 5 6 11 10 4 12 7 8 13 9 2]
3,262,[4 5 2 6 8 11 10 12 3 9 1 13 7]
4,-98,[9 3 7 1 11 10 8 12 2 6 4 13 5]
5,42,[4 1 2 9 6 11 10 12 8 7 13 5 3]
6,262,[4 5 2 6 8 11 10 12 3 9 1 13 7]
7,-280,[13 12 5 2 8 9 10 11 3 4 6 1 7]
8,-95,[10 7 1 4 12 13 9 8 5 11 2 3 6]
9,-189,[13 6 8 4 3 12 9 2 11 10 7 1 5]
10,-207,[12 9 8 1 7 2 6 10 11 4 5 13 3]
11,-47,[7 12 6 3 2 8 13 9 4 11 1 5 10]
12,52,[7 1 11 2 9 10 3 13 12 8 5 4 6]
13,-244,[5 10 12 7 3 6 2 9 11 13 1 8 4]
14,103,[2 12 9 6 1 5 8 4 7 10 13 3 11]
15,157,[9 5 2 10 6 3 1 12 4 11 13 8 7]
16,-124,[8 12 4 7 11 5 2 1 13 3 10 9 6]
17,6,[2 6 4 11 9 5 3 12 13 10 8 7 1]
18,-259,[11 13 12 2 4 8 1 3 9 7 6 10 5]
19,287,[1 3 9 10 4 6 8 7 11 13 5 2 12]
20,351,[1 6 3 9 13 5 8 2 7 12 4 10 11]
21,-242,[8 7 5 13 2 12 4 6 3 10 11 9 1]
22,-122,[6 11 8 7 3 1 5 10 12 2 13 9 4]
23,43,[8 12 5 3 7 11 1 2 9 13 4 10 6]
24,269,[1 6 4 12 2 3 5 7 10 8 13 9 11]
25,-230,[9 10 6 12 4 8 5 11 3 1 13 2 7]
Iteration: 63
Team ,Score ,Strategy
1,183,[3 5 2 6 8 11 10 12 13 4 1 9 7]
2,298,[1 3 9 10 4 5 8 2 11 13 7 6 12]
3,147,[3 5 2 6 8 11 7 12 13 4 1 9 10]
4,289,[4 5 2 6 8 3 12 7 10 9 13 1 11]
5,289,[4 5 2 6 8 3 12 7 10 9 13 1 11]
6,95,[1 6 9 12 4 3 8 7 11 13 10 2 5]
7,-301,[4 13 7 11 10 9 8 6 2 5 3 1 12]
8,-101,[6 10 7 2 3 13 8 4 9 12 11 5 1]
9,-149,[3 10 9 13 4 2 12 1 5 7 6 8 11]
10,-39,[3 4 13 12 1 2 9 10 5 11 8 7 6]
11,-112,[9 4 13 8 10 2 5 1 11 6 3 7 12]
12,-277,[5 4 12 9 13 2 7 10 6 11 8 3 1]
13,-179,[2 13 12 4 5 8 10 1 6 11 7 3 9]
14,53,[2 1 8 12 9 3 5 6 4 13 11 7 10]
15,63,[2 1 6 12 13 7 4 11 8 5 10 9 3]
16,187,[7 2 1 5 12 10 8 4 9 6 11 13 3]
17,-258,[11 13 1 10 5 3 6 8 7 4 12 2 9]
18,100,[9 2 6 13 1 10 5 3 7 4 8 11 12]
19,-370,[11 8 12 2 13 4 6 5 7 3 10 9 1]
20,-256,[10 13 7 1 11 5 8 3 4 9 6 2 12]
21,61,[7 12 5 2 8 3 1 10 9 4 13 6 11]
22,-241,[12 5 6 8 10 3 11 13 4 7 2 9 1]
23,156,[4 8 1 6 10 2 12 7 5 13 11 9 3]
24,268,[3 9 2 1 8 7 6 10 5 11 12 13 4]
25,94,[6 1 11 2 13 7 8 9 5 3 12 10 4]
Iteration: 64
Team ,Score ,Strategy
1,219,[3 5 2 6 8 11 10 12 13 4 1 9 7]
2,349,[3 9 2 1 8 7 4 10 5 11 6 13 12]
3,121,[3 5 2 6 8 11 9 10 13 4 12 1 7]
4,-295,[7 5 2 13 12 10 8 4 9 6 11 1 3]
5,237,[4 3 2 10 6 5 8 7 11 9 13 1 12]
6,306,[3 5 2 6 8 7 4 10 1 9 12 13 11]
7,-65,[1 2 10 13 12 5 11 8 4 3 7 6 9]
8,55,[7 11 12 2 3 6 1 4 5 10 13 8 9]
9,47,[11 4 8 2 1 9 3 13 5 10 7 12 6]
10,-275,[2 10 12 6 11 13 7 9 3 5 1 4 8]
11,-649,[12 10 13 9 7 8 4 2 11 6 5 1 3]
12,-2,[8 7 6 5 3 1 12 11 13 9 10 2 4]
13,-88,[8 9 2 13 3 10 7 4 5 11 6 1 12]
14,-12,[2 11 7 1 13 10 8 5 4 12 3 9 6]
15,477,[3 2 9 1 8 5 10 4 6 12 13 11 7]
16,-42,[4 11 9 10 5 2 8 7 3 1 13 6 12]
17,-35,[2 9 3 13 10 11 4 1 8 7 5 12 6]
18,-206,[6 9 13 1 7 8 10 3 12 5 11 2 4]
19,-20,[1 9 11 3 2 12 10 7 13 5 8 6 4]
20,-15,[10 3 1 5 12 8 4 11 6 7 9 13 2]
21,-197,[6 8 13 9 2 5 7 11 1 12 10 3 4]
22,50,[1 11 7 8 5 2 4 12 9 10 13 6 3]
23,191,[7 5 3 6 1 12 9 11 10 2 4 8 13]
24,-142,[8 12 7 4 2 6 9 13 5 11 3 10 1]
25,-9,[7 2 13 5 6 3 8 10 1 4 12 9 11]
Iteration: 65
Team ,Score ,Strategy
1,200,[7 5 3 6 1 12 9 11 10 2 4 8 13]
2,352,[3 2 1 6 8 7 4 9 10 12 5 13 11]
3,159,[4 3 2 10 6 7 8 11 5 9 13 1 12]
4,352,[3 2 1 6 8 7 4 9 10 12 5 13 11]
5,159,[4 3 2 10 6 7 8 11 5 9 13 1 12]
6,240,[3 5 2 6 8 11 10 4 13 7 1 9 12]
7,-153,[11 9 3 6 7 12 2 4 1 13 10 8 5]
8,-102,[9 7 4 1 5 13 11 8 6 10 12 2 3]
9,-118,[3 13 7 9 10 1 4 11 6 8 2 5 12]
10,-214,[12 6 9 7 1 2 8 11 13 5 3 4 10]
11,-251,[13 6 5 7 3 12 9 2 4 11 10 1 8]
12,57,[1 4 10 11 7 8 6 2 9 3 13 12 5]
13,-195,[9 2 12 1 11 7 5 13 8 10 4 6 3]
14,-93,[6 2 8 11 7 12 4 13 3 5 9 10 1]
15,142,[5 8 1 7 11 4 10 3 13 2 9 6 12]
16,-145,[8 9 4 2 12 11 10 6 3 1 5 13 7]
17,-102,[9 12 4 3 10 6 2 5 1 11 13 7 8]
18,120,[6 4 9 2 10 12 8 1 11 7 5 3 13]
19,2,[1 3 5 13 8 10 2 12 7 4 11 6 9]
20,-61,[7 10 11 8 5 1 3 2 4 13 6 12 9]
21,140,[5 3 6 12 1 4 11 8 2 13 9 7 10]
22,-97,[5 8 13 6 1 9 3 2 11 4 12 10 7]
23,-238,[5 9 6 8 10 13 7 2 12 4 11 1 3]
24,-83,[9 7 3 10 2 11 13 1 8 5 4 6 12]
25,-71,[5 11 7 8 6 1 3 13 9 10 2 4 12]
Iteration: 66
Team ,Score ,Strategy
1,111,[4 3 2 10 6 7 8 11 5 9 13 1 12]
