Iteration: 1
Team ,Score ,Strategy
1,244,[7 6 5 2 10 1 4 3 11 13 8 12 9]
2,189,[4 2 10 9 1 11 7 13 3 5 8 6 12]
3,388,[6 4 5 3 2 9 7 11 1 13 8 12 10]
4,37,[7 4 5 9 10 3 2 6 11 13 8 12 1]
5,102,[11 5 9 2 6 1 10 3 7 13 8 12 4]
6,37,[7 4 5 9 10 3 2 6 11 13 8 12 1]
7,-166,[12 8 1 10 4 9 6 7 13 5 11 3 2]
8,-159,[2 9 3 7 11 13 10 6 12 4 8 5 1]
9,-127,[3 10 9 2 12 11 7 4 13 5 1 6 8]
10,-126,[2 6 12 7 8 4 13 11 10 1 5 9 3]
11,-332,[13 12 10 2 4 7 9 8 1 11 3 6 5]
12,235,[1 8 5 2 10 12 4 13 7 6 11 9 3]
13,-132,[10 8 5 1 12 11 13 3 4 7 2 6 9]
14,81,[6 11 1 5 9 2 7 13 4 12 8 3 10]
15,3,[2 13 8 1 10 5 7 9 3 4 6 11 12]
16,157,[8 1 6 3 5 7 12 13 10 4 11 2 9]
17,-76,[11 1 4 9 12 8 3 13 5 6 7 10 2]
18,413,[1 11 2 8 7 4 5 9 3 6 10 13 12]
19,-193,[12 11 6 2 13 1 10 5 8 7 3 4 9]
20,-88,[1 9 12 11 13 2 10 3 5 6 7 8 4]
21,19,[3 10 7 9 8 2 6 11 5 4 1 12 13]
22,207,[2 11 7 10 3 6 9 8 1 4 12 13 5]
23,-227,[7 6 11 12 4 3 2 10 8 13 5 9 1]
24,-217,[7 1 12 9 8 10 4 13 11 6 3 5 2]
25,-269,[11 7 3 10 6 12 8 9 13 2 4 1 5]
Iteration: 6
Team ,Score ,Strategy
1,178,[4 2 10 9 1 11 7 13 3 5 8 6 12]
2,116,[6 11 5 8 2 4 7 9 1 13 10 12 3]
3,469,[2 6 5 7 3 1 4 8 11 10 12 13 9]
4,-177,[7 8 5 2 10 12 4 13 11 6 3 9 1]
5,-177,[7 8 5 2 10 12 4 13 11 6 3 9 1]
6,282,[2 4 5 10 9 6 7 11 1 13 8 12 3]
7,-255,[12 11 1 10 3 7 9 6 13 8 5 4 2]
8,-282,[13 7 10 11 3 4 2 8 1 9 6 5 12]
9,-347,[9 7 13 12 1 10 2 11 8 5 3 6 4]
10,-135,[8 2 6 4 12 9 13 3 10 5 7 11 1]
11,-198,[5 11 6 7 10 3 9 4 12 2 13 8 1]
12,-233,[7 8 6 12 11 1 9 10 3 13 4 5 2]
13,442,[4 3 1 9 2 5 11 10 8 6 7 12 13]
14,216,[5 4 1 12 3 11 6 9 13 8 7 2 10]
15,348,[3 2 4 11 10 1 7 9 5 6 12 13 8]
16,-189,[10 2 13 11 1 8 3 5 9 7 6 4 12]
17,-7,[2 9 3 12 8 6 10 11 5 4 7 13 1]
18,217,[8 1 11 5 3 4 2 7 6 13 9 12 10]
19,-179,[11 9 4 8 12 7 3 2 6 1 13 10 5]
20,-379,[9 12 7 4 10 8 11 13 6 5 3 1 2]
21,-61,[2 6 9 8 11 10 3 7 5 4 12 13 1]
22,82,[2 12 6 5 1 10 8 9 13 3 7 11 4]
23,30,[1 3 13 9 7 4 5 10 8 2 6 11 12]
24,-85,[13 9 4 7 5 2 3 11 12 1 8 10 6]
25,324,[5 3 2 1 9 10 12 4 11 8 13 6 7]
Iteration: 7
Team ,Score ,Strategy
1,146,[8 1 11 5 3 4 2 7 6 13 9 12 10]
2,71,[3 9 1 11 10 5 7 4 2 6 12 13 8]
3,322,[3 2 4 1 10 11 7 9 5 6 13 12 8]
4,71,[3 9 1 11 10 5 7 4 2 6 12 13 8]
5,-70,[8 2 11 5 10 4 7 9 6 13 1 12 3]
6,71,[3 9 1 11 10 5 7 4 2 6 12 13 8]
7,-156,[7 6 10 4 9 8 2 13 1 3 5 11 12]
8,275,[4 2 7 1 9 6 12 8 3 11 5 10 13]
9,121,[2 9 10 5 4 8 7 12 3 13 6 1 11]
10,55,[4 3 7 11 12 1 5 10 8 9 2 13 6]
11,-34,[4 2 7 10 9 1 13 5 11 12 6 8 3]
12,115,[11 1 3 7 8 5 6 10 9 2 13 4 12]
13,110,[5 8 7 9 2 3 11 1 10 4 6 12 13]
14,33,[5 10 2 3 7 12 9 4 6 1 11 13 8]
15,-191,[4 2 12 11 10 8 6 5 13 9 3 1 7]
16,375,[1 2 3 8 10 6 4 12 5 9 11 7 13]
17,236,[6 5 3 1 9 10 11 4 8 2 7 13 12]
18,-49,[10 9 1 2 4 13 6 7 12 8 5 3 11]
19,-203,[7 13 4 8 2 1 11 12 6 10 3 9 5]
20,-349,[12 8 4 6 13 10 5 1 3 7 9 11 2]
21,-485,[4 8 11 9 13 10 12 7 1 6 5 3 2]
22,265,[7 4 1 2 12 6 5 8 10 11 13 3 9]
23,-153,[12 6 2 10 9 1 3 8 11 7 13 4 5]
24,-443,[13 12 11 8 6 2 1 7 3 4 10 5 9]
25,-133,[4 12 3 2 9 7 5 11 13 6 1 10 8]
Iteration: 8
Team ,Score ,Strategy
1,208,[8 1 11 5 3 4 2 7 6 13 9 12 10]
2,54,[7 4 1 6 12 10 5 11 8 2 3 13 9]
3,210,[3 5 6 1 10 11 8 9 4 2 7 12 13]
4,-61,[4 2 13 1 10 11 7 8 3 6 5 12 9]
5,62,[8 1 9 2 12 4 5 7 6 11 13 3 10]
6,62,[8 1 9 2 12 4 5 7 6 11 13 3 10]
7,-296,[7 13 6 5 10 12 3 8 1 9 4 2 11]
8,265,[3 4 9 12 1 5 6 7 10 2 13 8 11]
9,78,[9 1 5 6 10 3 11 4 12 7 2 13 8]
10,-91,[11 3 9 5 10 7 6 4 2 12 8 13 1]
11,-184,[2 11 9 3 13 4 8 12 5 10 7 6 1]
12,-97,[8 4 5 12 10 2 7 1 9 11 3 13 6]
13,358,[1 3 4 2 10 11 7 9 8 6 12 13 5]
14,-568,[7 12 11 13 6 9 10 3 5 1 8 4 2]
15,-221,[8 5 10 9 13 1 11 3 12 4 6 7 2]
16,-51,[10 7 5 1 12 2 11 8 6 4 13 3 9]
17,-35,[8 13 6 2 1 5 12 10 3 4 11 9 7]
18,85,[6 8 9 3 5 4 13 1 7 12 2 10 11]
19,6,[5 3 1 13 10 12 6 4 9 7 11 8 2]
20,29,[6 10 2 9 3 1 11 12 13 4 8 5 7]
21,5,[6 12 1 4 13 5 8 2 9 11 7 10 3]
22,49,[7 12 8 1 2 3 10 13 6 4 9 5 11]
23,-4,[8 4 5 7 9 12 1 2 13 3 6 10 11]
24,-95,[7 3 8 5 11 13 10 6 9 1 4 2 12]
25,232,[10 2 6 9 4 5 3 8 7 1 11 12 13]
Iteration: 9
Team ,Score ,Strategy
1,131,[6 8 9 3 5 4 13 1 7 12 2 10 11]
2,140,[10 2 6 3 4 8 11 1 7 12 9 5 13]
3,349,[3 1 6 2 10 11 7 9 8 5 12 13 4]
4,-51,[3 4 9 12 10 8 2 7 6 13 5 1 11]
5,377,[3 11 4 2 1 5 7 9 8 10 12 6 13]
6,150,[1 3 6 9 10 5 11 8 7 4 12 13 2]
7,176,[1 7 10 5 3 11 12 6 8 2 13 4 9]
8,-343,[12 11 3 5 13 8 9 1 7 2 4 6 10]
9,47,[7 2 6 10 1 11 13 9 4 3 5 12 8]
10,-115,[1 11 7 13 4 3 10 12 2 9 6 5 8]
11,1,[8 5 2 1 9 11 7 6 4 12 13 10 3]
12,161,[11 4 1 2 7 8 9 5 10 3 12 13 6]
13,-61,[7 6 11 3 5 9 4 12 2 13 8 1 10]
14,-41,[1 7 3 4 12 11 10 6 5 13 9 8 2]
15,-435,[9 10 5 11 13 3 12 1 7 2 8 4 6]
16,-50,[10 7 3 9 2 13 1 8 12 5 6 11 4]
17,157,[10 2 1 8 3 11 5 7 9 12 13 4 6]
18,-132,[2 9 11 4 10 12 13 5 8 6 1 7 3]
19,203,[4 10 5 1 2 11 6 7 12 3 9 13 8]
20,-401,[6 9 8 13 5 11 7 10 2 12 1 3 4]
21,10,[6 1 8 10 13 3 5 4 2 9 7 11 12]
22,91,[7 8 3 11 5 1 13 2 12 4 10 9 6]
23,163,[3 6 5 1 9 13 2 12 4 11 10 8 7]
24,-252,[4 12 10 9 6 8 1 13 7 3 11 2 5]
25,-275,[13 5 8 7 2 12 10 9 4 3 11 1 6]
Iteration: 10
Team ,Score ,Strategy
1,172,[11 4 1 2 7 8 9 5 10 3 12 13 6]
2,109,[4 10 5 1 2 13 9 7 12 3 6 8 11]
3,185,[4 1 6 2 10 11 7 9 8 3 5 13 12]
4,99,[3 1 6 5 10 11 7 4 8 2 12 13 9]
5,408,[3 1 4 2 10 5 7 9 8 11 12 13 6]
6,143,[3 7 4 5 1 11 12 6 8 2 13 10 9]
7,-166,[5 3 8 7 13 11 9 12 2 4 6 1 10]
8,-104,[12 3 9 1 4 10 7 13 5 8 2 6 11]
9,-278,[9 10 3 13 5 11 7 4 1 6 2 8 12]
10,83,[8 5 3 1 6 7 10 12 9 13 4 11 2]
11,137,[8 4 12 1 10 3 5 6 11 7 9 2 13]
12,-307,[5 13 11 10 6 4 12 3 1 7 9 2 8]
13,-155,[7 5 3 13 11 12 9 8 2 6 10 4 1]
14,412,[6 1 3 2 12 8 11 4 9 7 10 5 13]
15,3,[8 7 2 5 12 4 6 11 13 9 10 1 3]
16,-44,[3 4 12 13 7 6 9 2 1 5 10 8 11]
17,34,[8 3 7 6 10 11 4 5 1 13 9 2 12]
18,-72,[1 7 10 13 4 3 6 12 5 9 8 11 2]
19,4,[3 10 6 2 11 13 7 5 12 8 1 9 4]
20,-487,[6 13 12 8 9 2 3 11 5 1 4 7 10]
21,32,[7 10 3 5 4 12 9 2 8 6 1 11 13]
22,-278,[11 4 5 9 6 12 7 13 10 3 8 1 2]
23,21,[9 2 7 1 5 12 13 10 8 11 6 4 3]
24,-270,[8 13 7 2 11 3 12 4 9 5 6 1 10]
25,319,[2 5 8 9 3 1 12 6 4 10 7 13 11]
Iteration: 11
Team ,Score ,Strategy
1,209,[3 7 4 5 1 11 12 6 8 2 13 10 9]
2,383,[6 1 4 2 12 5 7 9 8 10 3 11 13]
3,-264,[11 5 8 9 7 1 12 3 4 10 2 13 6]
4,503,[4 1 3 2 12 8 7 9 6 11 5 13 10]
5,-264,[11 5 8 9 7 1 12 3 4 10 2 13 6]
6,290,[3 7 6 5 1 11 13 9 8 2 4 10 12]
7,-131,[6 13 3 1 7 5 11 9 12 10 2 8 4]
8,305,[1 5 13 2 3 6 11 4 9 12 7 10 8]
9,-457,[11 8 2 9 13 4 7 12 10 6 1 5 3]
10,25,[5 13 3 11 9 7 1 2 8 12 6 4 10]
11,-110,[10 6 3 11 7 13 2 1 8 12 4 9 5]
12,-470,[2 10 11 12 9 3 13 4 6 8 1 5 7]
13,-207,[4 6 13 12 1 2 7 11 8 9 10 5 3]
14,-365,[12 7 13 2 8 9 6 5 10 11 4 3 1]
15,13,[5 7 13 2 11 6 3 8 1 9 4 12 10]
16,350,[8 6 3 1 9 4 10 5 12 2 7 13 11]
17,236,[6 2 1 9 12 4 7 8 13 10 5 3 11]
18,211,[2 8 1 5 11 3 9 4 13 7 12 6 10]
19,69,[11 4 7 2 5 10 1 8 12 9 3 6 13]
20,-268,[13 6 1 10 3 12 7 2 4 5 11 9 8]
21,58,[6 3 1 8 5 10 9 12 7 2 13 11 4]
22,54,[7 6 2 5 11 8 1 13 12 10 4 3 9]
23,-185,[10 8 1 12 11 2 9 5 7 6 4 3 13]
24,263,[2 7 5 11 1 6 4 9 12 8 3 13 10]
25,-248,[13 2 1 11 7 5 12 9 6 4 10 8 3]
Iteration: 12
Team ,Score ,Strategy
1,329,[2 7 5 11 1 6 4 9 12 8 3 13 10]
2,257,[1 6 13 2 3 12 11 4 9 5 7 10 8]
3,241,[2 1 5 11 12 8 7 9 6 4 3 13 10]
4,257,[1 6 13 2 3 12 11 4 9 5 7 10 8]
5,242,[1 5 13 2 3 6 7 9 12 11 10 4 8]
6,260,[3 1 12 5 4 11 7 9 8 2 6 13 10]
7,-283,[9 2 13 7 3 10 8 12 6 5 11 4 1]
8,-175,[13 3 7 12 4 11 5 1 8 10 6 9 2]
9,65,[6 13 8 2 5 1 11 12 10 9 4 7 3]
10,-328,[13 10 6 12 8 9 3 1 4 2 7 5 11]
11,-296,[12 11 13 1 2 8 7 5 9 10 3 6 4]
12,-78,[5 11 10 6 4 1 9 13 12 2 3 8 7]
13,-191,[11 4 1 12 6 13 10 7 3 8 9 5 2]
14,179,[8 11 4 1 13 2 3 5 6 10 7 12 9]
15,-349,[12 7 4 9 8 13 5 11 1 3 10 6 2]
16,-168,[7 13 1 5 8 10 9 11 4 3 12 6 2]
17,-66,[4 8 11 9 10 1 12 5 6 3 7 13 2]
18,222,[8 6 2 13 1 3 10 5 7 12 11 9 4]
19,334,[4 3 6 9 2 8 5 12 1 10 11 13 7]
20,-96,[7 8 10 12 3 9 2 1 11 4 13 6 5]
21,111,[4 7 12 6 10 1 2 13 3 8 5 11 9]
22,113,[8 3 1 13 6 7 5 11 10 4 12 9 2]
23,43,[8 3 10 7 4 5 6 11 13 12 1 2 9]
24,-298,[13 12 1 10 3 5 9 4 11 8 2 6 7]
25,-325,[13 7 4 12 10 2 11 5 9 6 3 8 1]
Iteration: 13
Team ,Score ,Strategy
1,139,[1 5 13 2 3 6 7 9 12 11 10 4 8]
2,380,[2 7 5 11 1 6 4 9 12 3 8 13 10]
3,242,[4 7 6 11 1 2 5 9 12 8 3 13 10]
4,191,[1 5 13 2 3 6 7 9 12 11 4 10 8]
5,191,[1 5 13 2 3 6 7 9 12 11 4 10 8]
6,-110,[4 6 13 2 7 8 5 12 9 10 11 3 1]
7,-14,[11 6 8 5 2 4 12 10 9 3 1 13 7]
8,42,[5 1 3 10 9 8 13 7 4 12 2 11 6]
9,345,[7 1 8 4 3 5 11 10 6 13 12 2 9]
10,251,[4 12 1 5 7 2 6 11 3 13 8 10 9]
11,-62,[11 2 4 8 13 7 3 12 5 1 10 9 6]
12,177,[12 8 4 1 6 2 5 3 10 13 11 7 9]
13,-143,[11 9 1 7 13 10 8 4 2 3 5 12 6]
14,147,[2 12 6 11 5 3 9 8 4 1 13 7 10]
15,0,[3 11 4 6 5 1 8 12 13 10 7 9 2]
16,-210,[1 8 9 12 11 7 3 4 2 10 13 6 5]
17,-96,[13 2 5 12 9 8 1 10 4 7 3 6 11]
18,-138,[10 4 12 2 9 5 8 11 6 13 1 3 7]
19,64,[11 7 6 1 2 8 9 4 10 13 3 12 5]
20,34,[2 11 4 7 12 8 3 1 6 13 9 10 5]
21,-254,[11 2 1 12 5 13 10 9 4 8 7 6 3]
22,-197,[13 12 6 10 5 8 2 4 3 1 11 7 9]
23,-215,[7 3 11 6 13 9 8 2 5 12 10 4 1]
24,-296,[6 13 11 10 3 8 1 4 5 9 7 12 2]
25,-468,[7 12 8 6 13 11 10 2 9 5 3 1 4]
Iteration: 14
Team ,Score ,Strategy
1,154,[1 5 13 2 3 6 7 9 12 11 4 10 8]
2,304,[1 7 6 11 5 2 4 9 12 8 3 13 10]
3,291,[4 1 6 12 7 2 5 10 8 13 3 11 9]
4,291,[4 1 6 12 7 2 5 10 8 13 3 11 9]
5,436,[2 7 5 4 1 6 11 9 3 13 12 8 10]
6,161,[4 1 8 5 3 10 11 6 12 13 7 2 9]
7,-17,[7 2 6 12 3 8 11 13 4 5 9 10 1]
8,-218,[10 12 8 2 5 11 4 1 3 6 13 9 7]
9,73,[1 9 2 7 6 4 13 8 10 11 12 5 3]
10,-49,[9 13 4 3 12 2 6 5 1 11 8 7 10]
11,9,[6 5 1 12 9 8 10 4 3 11 7 2 13]
12,-387,[13 11 7 12 8 5 3 4 9 1 2 6 10]
13,-545,[12 6 13 2 11 9 3 10 7 4 1 5 8]
14,-192,[11 5 1 6 12 3 9 13 10 4 8 7 2]
15,-274,[13 7 1 11 3 8 4 6 12 10 5 2 9]
16,-306,[5 3 11 4 13 9 12 10 2 7 8 1 6]
17,381,[1 3 2 13 4 12 5 8 6 7 11 9 10]
18,205,[1 3 2 13 6 8 12 7 9 11 5 4 10]
19,-6,[6 7 4 9 3 1 11 12 2 13 10 5 8]
20,-129,[10 1 2 12 8 7 5 4 9 11 13 3 6]
21,129,[5 4 10 3 11 7 1 2 12 13 6 8 9]
22,-179,[12 6 13 8 1 4 2 7 3 5 11 10 9]
